 ,Mean
1996,122.972
1997,118.134
1998,111.775
1999,100.538
2000,88.484
2001,121.724
2002,118.034
2003,113.232
2004,103.944
2005,87.910
2006,122.296
2007,119.746
2008,113.702
2009,101.965
2010,85.159
2011,128.575
2012,126.021
2013,123.528
2014,115.926
2015,109.053
2016,126.945
2017,121.724
2018,119.566
2019,104.785
2020,93.612
2021,127.787
2022,124.796
2023,121.989
2024,108.133
2025,87.946
2026,124.808
2027,120.581
2028,113.783
2029,99.816
2030,86.701
2031,124.036
2032,119.112
2033,113.413
2034,103.362
2035,85.305
2036,123.291
2037,120.015
2038,112.242
2039,106.112
2040,83.096
2041,127.151
2042,125.025
2043,122.669
2044,118.156
2045,103.054
2046,125.830
2047,121.698
2048,118.372
2049,108.286
2050,98.919
2051,126.546
2052,122.571
2053,118.947
2054,109.749
2055,92.331
2056,123.474
2057,118.705
2058,112.512
2059,101.334
2060,89.073
2061,122.287
2062,118.610
2063,113.960
2064,104.899
2065,88.630
2066,122.787
2067,120.381
2068,114.510
2069,102.901
2070,85.543
2071,128.971
2072,126.502
2073,124.121
2074,116.762
2075,110.161
2076,127.394
2077,122.222
2078,120.086
2079,105.544
2080,94.423
2081,128.265
2082,125.241
2083,122.581
2084,109.012
2085,88.691
2086,125.351
2087,121.199
2088,114.518
2089,100.568
2090,87.351
2091,124.580
2092,119.667
2093,114.073
2094,104.239
2095,85.847
2096,123.767
2097,120.661
2098,113.044
2099,107.081
2100,83.414
2101,127.393
2102,125.316
2103,123.097
2104,118.865
2105,104.068
2106,126.112
2107,122.007
2108,118.731
2109,108.920
2110,99.768
2111,126.844
2112,122.872
2113,119.317
2114,110.536
2115,93.103
2116,123.842
2117,119.113
2118,113.085
2119,102.011
2120,89.559
2121,122.677
2122,118.999
2123,114.506
2124,105.711
2125,89.278
2126,123.139
2127,120.804
2128,115.125
2129,103.692
2130,85.844
2131,129.200
2132,126.818
2133,124.575
2134,117.441
2135,111.085
2136,127.690
2137,122.554
